intersection_id,time,hour,minute,flow,speed,occupancy,queue_length,signal_phase,green_time,cycle_length,lane_num,is_peak,peak_sensitivity,weather,has_bus_stop,near_school_hospital,target_queue
A,2026-06-01 06:00:00,6,0,158.01,39.66,0.402,12.74,1,25.24,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:05:00,6,5,125.94,46.11,0.324,0.0,3,39.4,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:10:00,6,10,125.81,45.68,0.327,0.0,1,30.21,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:15:00,6,15,167.45,44.48,0.338,0.0,3,34.23,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:20:00,6,20,151.25,44.52,0.319,0.0,3,45.71,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:25:00,6,25,165.58,43.47,0.323,0.0,3,34.43,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:30:00,6,30,153.86,46.19,0.338,0.0,4,36.16,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:35:00,6,35,156.58,47.19,0.347,0.0,4,35.34,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:40:00,6,40,169.34,41.26,0.398,0.0,3,33.62,90,4,0,1.0,rainy,0,0,0.0
A,2026-06-01 06:45:00,6,45,136.3,47.86,0.331,0.0,3,35.81,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:50:00,6,50,133.75,43.98,0.272,0.0,4,34.04,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 06:55:00,6,55,145.85,46.73,0.312,0.0,1,38.45,90,4,0,1.0,sunny,0,0,0.0
A,2026-06-01 07:00:00,7,0,412.14,33.69,0.633,0.0,2,40.18,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:05:00,7,5,403.25,38.87,0.647,0.0,1,44.4,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:10:00,7,10,401.41,35.43,0.592,0.0,3,34.76,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:15:00,7,15,496.19,36.64,0.735,0.0,2,48.5,90,4,1,1.0,rainy,0,0,0.0
A,2026-06-01 07:20:00,7,20,384.0,40.65,0.559,0.0,2,46.2,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:25:00,7,25,374.08,39.37,0.583,0.0,4,42.36,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:30:00,7,30,398.21,41.31,0.634,0.0,3,42.9,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:35:00,7,35,432.27,34.03,0.65,0.0,1,36.06,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:40:00,7,40,415.7,38.63,0.618,0.0,2,34.65,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:45:00,7,45,461.28,29.74,0.674,0.0,1,44.07,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:50:00,7,50,394.69,37.11,0.656,0.0,4,41.3,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 07:55:00,7,55,369.51,43.73,0.592,0.0,2,39.57,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 08:00:00,8,0,393.01,44.59,0.6,0.0,4,37.17,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 08:05:00,8,5,417.18,35.99,0.662,0.0,1,46.66,90,4,1,1.0,cloudy,0,0,0.0
A,2026-06-01 08:10:00,8,10,444.16,37.47,0.645,0.0,3,35.87,90,4,1,1.0,cloudy,0,0,0.0
A,2026-06-01 08:15:00,8,15,432.87,35.82,0.709,0.0,1,43.43,90,4,1,1.0,cloudy,0,0,0.0
A,2026-06-01 08:20:00,8,20,411.58,33.9,0.607,0.0,3,42.92,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 08:25:00,8,25,431.65,31.75,0.712,0.0,3,40.08,90,4,1,1.0,cloudy,0,0,0.0
A,2026-06-01 08:30:00,8,30,495.86,38.08,0.755,0.0,2,41.18,90,4,1,1.0,rainy,0,0,0.0
A,2026-06-01 08:35:00,8,35,462.75,32.3,0.68,0.0,3,41.76,90,4,1,1.0,rainy,0,0,0.0
A,2026-06-01 08:40:00,8,40,453.56,34.98,0.68,0.0,1,42.15,90,4,1,1.0,cloudy,0,0,0.0
A,2026-06-01 08:45:00,8,45,530.5,32.89,0.766,0.0,3,41.23,90,4,1,1.0,rainy,0,0,0.0
A,2026-06-01 08:50:00,8,50,381.31,41.5,0.683,0.0,3,43.14,90,4,1,1.0,sunny,0,0,0.0
A,2026-06-01 08:55:00,8,55,405.97,40.51,0.647,0.0,1,39.05,90,4,1,1.0,cloudy,0,0,0.0
A,2026-06-01 09:00:00,9,0,460.8,33.13,0.687,0.0,2,36.69,90,4,1,1.0,rainy,0,0,0.0
